C:\Users\nickb\PACCS\Scripts\python.exe C:/Users/nickb/PycharmProjects/PACCS_Data/course_blocks/real_blocks.py
0.13 104 ['ENGL1113', 'B AD1000', 'COMM1113'] 	 0.96 Freshman 	 0.53 Business-Undecided
0.12 103 ['UCOL1002', 'MATH1643', 'ECON1113'] 	 1.0 Freshman 	 0.5 Business-Undecided
0.12 103 ['UCOL1002', 'B AD1000', 'COMM1113'] 	 0.99 Freshman 	 0.47 Business-Undecided
0.26 103 ['CHEM1315', 'ENGR1411', 'MATH1823'] 	 0.99 Freshman 	 0.26 Mechanical Engineering
0.74 103 ['AME3143', 'AME3723', 'AME3153'] 	 0.64 Junior 	 0.97 Mechanical Engineering
0.7 102 ['P E4323', 'P E4533', 'GPHY3423'] 	 1.0 Senior 	 0.98 Petroleum Engineering
0.14 102 ['B AD1010', 'ACCT2113', 'B AD1001'] 	 0.64 Sophomore 	 0.23 Business-Undecided
0.12 101 ['MATH1743', 'B AD1000', 'COMM1113'] 	 0.94 Freshman 	 0.42 Business-Undecided
0.19 100 ['ECON2843', 'B AD2091', 'MATH2123'] 	 0.77 Sophomore 	 0.24 Finance
0.18 98 ['B AD1010', 'ECON2843', 'PHIL1273'] 	 0.77 Sophomore 	 0.22 Business-Undecided
0.24 97 ['MKT3013', 'MGT3013', 'FIN3303'] 	 0.7 Junior 	 0.15 Finance
0.12 96 ['MATH1643', 'ECON1113', 'COMM1113'] 	 0.93 Freshman 	 0.49 Business-Undecided
0.86 96 ['CH E3473', 'CH E3123', 'CH E3723'] 	 0.58 Junior 	 0.75 Chemical Engineering-Standard
0.13 95 ['MATH1743', 'B AD1000', 'B AD1001'] 	 0.78 Freshman 	 0.4 Business-Undecided
0.13 92 ['B AD1000', 'COMM1113', 'B AD1001'] 	 0.75 Freshman 	 0.45 Business-Undecided
0.1 91 ['UCOL1002', 'PSY1113', 'BIOL1114'] 	 0.98 Freshman 	 0.43 Pre-Nursing Studies
0.11 91 ['MATH1743', 'ECON1113', 'COMM1113'] 	 0.96 Freshman 	 0.42 Business-Undecided
0.12 91 ['B AD1000', 'MATH1643', 'B AD1001'] 	 0.79 Freshman 	 0.43 Business-Undecided
0.12 90 ['MATH1743', 'B AD1010', 'ACCT2113'] 	 0.59 Sophomore 	 0.18 Finance
0.1 90 ['ENGL1113', 'MATH1643', 'ECON1113'] 	 1.0 Freshman 	 0.46 Business-Undecided
0.17 90 ['ACCT2113', 'ECON2843', 'PHIL1273'] 	 0.77 Sophomore 	 0.24 Business-Undecided
0.1 89 ['ENGL1113', 'UCOL1002', 'ECON1113'] 	 0.99 Freshman 	 0.39 Business-Undecided
0.54 89 ['AME3363', 'PHYS3223', 'AME4163'] 	 1.0 Senior 	 0.98 Mechanical Engineering
0.16 87 ['MIS2113', 'B AD2091', 'PHIL1273'] 	 0.85 Sophomore 	 0.22 Accounting
0.63 86 ['P E4521', 'P E4533', 'P E3222'] 	 0.99 Senior 	 0.98 Petroleum Engineering
0.15 86 ['CHEM1315', 'ENGR1411', 'MATH1523'] 	 0.93 Freshman 	 0.22 Mechanical Engineering
0.06 85 ['ENGL1113', 'UCOL1002', 'P SC1113'] 	 1.0 Freshman 	 0.12 Undecided-Degree Seeking
0.09 85 ['ENGL1113', 'PSY1113', 'BIOL1114'] 	 0.98 Freshman 	 0.36 Pre-Nursing Studies
0.09 84 ['UCOL1002', 'MATH1743', 'B AD1000'] 	 0.96 Freshman 	 0.42 Business-Undecided
0.11 84 ['ENGL1113', 'UCOL1002', 'B AD1001'] 	 0.96 Freshman 	 0.49 Business-Undecided
0.61 83 ['P E4521', 'P E4712', 'P E3222'] 	 0.99 Senior 	 0.96 Petroleum Engineering
0.09 83 ['ENGL1113', 'MATH1743', 'B AD1000'] 	 0.98 Freshman 	 0.47 Business-Undecided
0.11 82 ['MATH1643', 'ECON1113', 'B AD1001'] 	 0.78 Freshman 	 0.4 Business-Undecided
0.66 82 ['CHEM3053', 'CH E2002', 'CH E2033'] 	 0.61 Sophomore 	 0.65 Chemical Engineering-Standard
0.77 82 ['C S3823', 'C S3113', 'C S3203'] 	 0.61 Senior 	 0.98 Computer Science
0.6 81 ['P E4712', 'P E4533', 'P E3222'] 	 0.99 Senior 	 0.98 Petroleum Engineering
0.15 81 ['ENGL1113', 'UCOL1002', 'MATH1503'] 	 1.0 Freshman 	 0.15 Pre-Nursing Studies
0.09 79 ['ENGL1113', 'PSY1113', 'MATH1643'] 	 1.0 Freshman 	 0.24 Psychology
0.19 77 ['L S3323', 'MGT3013', 'FIN3303'] 	 0.69 Junior 	 0.18 Energy Management
0.08 77 ['ENGL1113', 'UCOL1002', 'MATH1743'] 	 0.97 Freshman 	 0.22 Business-Undecided
0.08 77 ['ENGL1113', 'UCOL1002', 'BIOL1114'] 	 1.0 Freshman 	 0.27 Pre-Nursing Studies
